time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource,ClosestZIP,ZipSTATE,ZipCITY,DistKMeq2zip
2019-05-01T00:14:08.950Z,39.7993,-117.4575,4.5,3.1,ml,14,121.42,0.707,0.1911,nn,nn00683673,2019-05-01T02:35:15.040Z,"47km NW of Austin, Nevada",earthquake,,3.7,0.12,8,reviewed,nn,nn,89310,NV,Austin,35.39945744
2019-04-30T20:32:28.830Z,32.1195,-115.0708333,18.83,3.32,ml,22,152,0.1829,0.35,ci,ci37418485,2019-05-01T14:58:32.018Z,"10km SW of Estacion Coahuila, B.C., MX",earthquake,0.88,1.12,0.149,40,reviewed,ci,ci,85336,AZ,Gadsden,53.49033603
2019-04-30T20:31:24.160Z,32.113,-115.0548333,19.26,3.29,ml,18,153,0.1902,0.28,ci,ci38339119,2019-05-01T14:54:26.001Z,"10km SSW of Estacion Coahuila, B.C., MX",earthquake,0.8,0.94,0.124,44,reviewed,ci,ci,85336,AZ,Gadsden,53.35061961
2019-04-30T17:10:49.960Z,35.7973333,-121.3973333,7.46,3.44,ml,81,191,0.1351,0.08,nc,nc73174665,2019-05-01T14:06:25.040Z,"25km NW of San Simeon, CA",earthquake,0.24,0.44,0.135,60,reviewed,nc,nc,93928,CA,Jolon,30.09630886
2019-04-30T16:46:06.850Z,32.1121667,-115.0556667,19.63,3.29,ml,22,153,0.191,0.3,ci,ci38338823,2019-04-30T17:48:07.748Z,"10km SSW of Estacion Coahuila, B.C., MX",earthquake,0.84,0.98,0.162,53,reviewed,ci,ci,85336,AZ,Gadsden,53.4699338
2019-04-30T10:11:02.809Z,39.8116,-117.448,3.5,3.1,ml,11,118.76,0.721,0.1573,nn,nn00683614,2019-05-01T02:05:45.292Z,"52km NW of Austin, Nevada",earthquake,,2.9,0.24,6,reviewed,nn,nn,89310,NV,Austin,33.82598313
2019-04-30T08:06:51.610Z,23.6627,-63.0176,10,4.6,mb,,163,5.584,0.71,us,us70003ehc,2019-04-30T12:07:51.040Z,North Atlantic Ocean,earthquake,9.2,1.9,0.032,300,reviewed,us,us,00830,VI,St John,619.5326667
2019-04-30T06:02:56.995Z,39.7127,-117.4548,6.4,3.5,ml,10,70.78,0.652,0.2498,nn,nn00683604,2019-05-01T06:04:00.333Z,"41km NW of Austin, Nevada",earthquake,,6.2,0.31,5,reviewed,nn,nn,89310,NV,Austin,43.20495882
2019-04-30T04:51:25.129Z,36.6904,-97.6913,4.54,3.3,mb_lg,,48,0.21,0.25,us,us70003ef7,2019-04-30T11:52:34.395Z,"13km SSE of Medford, Oklahoma",earthquake,0.9,3.6,0.047,117,reviewed,us,us,74643,OK,Lamont,11.90265714
2019-04-29T17:37:01.330Z,37.4186667,-118.3635,7.25,3.8,mw,39,86,0.05315,0.06,nc,nc73174010,2019-04-30T22:47:42.043Z,"6km NE of Dixon Lane-Meadow Creek, CA",earthquake,0.25,0.66,,5,reviewed,nc,nc,93512,CA,Benton,24.65633163
2019-04-29T07:16:08.380Z,39.3476667,-123.2351667,3.07,4.32,mw,52,57,0.1448,0.1,nc,nc73173775,2019-05-01T06:47:45.118Z,"10km NNW of Redwood Valley, CA",earthquake,0.13,1.5,,5,reviewed,nc,nc,95482,CA,Ukiah,9.669870083
2019-04-29T03:16:36.435Z,39.801,-117.4407,3.1,3.1,ml,7,81.33,0.718,0.1604,nn,nn00683481,2019-04-30T02:04:30.012Z,"46km NW of Austin, Nevada",earthquake,,3,0.26,3,reviewed,nn,nn,89310,NV,Austin,34.36657237
2019-04-29T00:13:14.280Z,33.315,-116.4198333,8.21,3.31,ml,134,19,0.04673,0.21,ci,ci38337167,2019-04-29T23:25:32.685Z,"8km NNW of Borrego Springs, CA",earthquake,0.1,0.4,0.158,280,reviewed,ci,ci,92539,CA,Anza,33.53404351
2019-04-28T21:56:49.435Z,39.7909,-117.4778,3.8,4.1,ml,15,118.16,0.69,0.2006,nn,nn00683467,2019-04-30T17:52:37.139Z,"48km NW of Austin, Nevada",earthquake,,4.1,0.19,9,reviewed,nn,nn,89310,NV,Austin,37.22244418
2019-04-28T20:13:45.047Z,39.8022,-117.4714,2.8,3.3,ml,12,118.79,0.701,0.2369,nn,nn00683456,2019-04-29T02:05:02.998Z,"48km NW of Austin, Nevada",earthquake,,4.6,0.11,7,reviewed,nn,nn,89310,NV,Austin,35.91060143
2019-04-28T17:10:40.277Z,39.7957,-117.4572,4.8,3.5,ml,7,70.61,0.705,0.1047,nn,nn00683441,2019-04-29T17:11:29.514Z,"47km NW of Austin, Nevada",earthquake,,9.2,0.32,5,reviewed,nn,nn,89310,NV,Austin,35.69620811
2019-04-28T17:03:16.906Z,39.7969,-117.4942,4,4,ml,23,73.23,0.685,0.1711,nn,nn00683435,2019-04-30T17:52:38.791Z,"49km NW of Austin, Nevada",earthquake,,3.2,0.25,17,reviewed,nn,nn,89310,NV,Austin,37.64199133
2019-04-27T17:01:04.768Z,32.6665,-109.0994,10,3.4,mwr,,59,0.112,0.63,us,us70003d0h,2019-04-30T14:14:23.935Z,"46km SSE of Clifton, Arizona",earthquake,1.3,2,,40,reviewed,us,slm,85534,AZ,Duncan,26.2140811
2019-04-27T09:36:35.610Z,37.9951667,-122.0605,17.42,3.37,mw,202,31,0.04284,0.2,nc,nc73172850,2019-04-30T07:38:46.929Z,"2km NE of Pacheco, CA",earthquake,0.16,0.2,,3,reviewed,nc,nc,94520,CA,Concord,4.190316588
2019-04-27T02:38:37.100Z,40.3303333,-124.6136667,20.68,3.07,ml,48,239,0.2115,0.19,nc,nc73172710,2019-04-30T02:18:02.912Z,"28km W of Petrolia, CA",earthquake,0.75,0.33,0.224,10,reviewed,nc,nc,95536,CA,Ferndale,32.83157201
2019-04-24T10:56:54.100Z,36.1358333,-89.4398333,14.16,3.69,mw,79,60,0.05408,0.12,nm,nm60268341,2019-04-30T06:35:50.695Z,"12km NNW of Dyersburg, Tennessee",earthquake,0.15,0.22,,50,reviewed,nm,nm,38007,TN,Bogota,2.546426262
2019-04-23T17:53:49.118Z,40.5221,-127.0067,10,3.7,mwr,,198,2.204,0.8,us,us70003aud,2019-04-24T15:42:11.040Z,"232km W of Ferndale, California",earthquake,8.2,2,0.068,21,reviewed,us,us,95536,CA,Ferndale,231.5981786
2019-04-23T08:58:23.324Z,43.662,-127.4693,10,3.9,mb,,191,2.481,1.15,us,us70003aks,2019-04-23T13:37:01.040Z,"255km WNW of Bandon, Oregon",earthquake,7.2,2,0.089,40,reviewed,us,us,97411,OR,Bandon,256.9006065
2019-04-23T03:24:03.130Z,32.9038333,-115.5113333,17.01,3.73,mw,98,27,0.04161,0.29,ci,ci38327303,2019-04-26T22:04:59.407Z,"8km NE of Imperial, CA",earthquake,0.18,0.48,,4,reviewed,ci,ci,92243,CA,El Centro,0.791057713
2019-04-22T23:21:01.030Z,40.3765,-125.1891667,4.92,3.08,ml,28,288,0.6531,0.28,nc,nc73170430,2019-04-26T04:09:29.040Z,"77km W of Petrolia, CA",earthquake,1.61,1.91,0.246,12,reviewed,nc,nc,95536,CA,Ferndale,78.53442992
2019-04-22T22:19:19.530Z,31.902,-117.2398333,5.67,3.39,ml,29,267,0.4906,0.29,ci,ci38326967,2019-04-27T14:48:26.383Z,"47km SW of Primo Tapia, B.C., MX",earthquake,0.63,31.61,0.154,221,reviewed,ci,ci,92134,CA,San Diego,75.0855196
2019-04-22T21:44:45.622Z,50.3111,-130.1063,10,5.5,mww,,138,2.939,1.01,us,us70003afb,2019-04-24T23:23:51.703Z,"195km WSW of Port Hardy, Canada",earthquake,7,1.9,0.028,127,reviewed,us,us,98357,WA,Neah Bay,454.8530552
2019-04-22T20:27:01.000Z,50.363,-129.773,3,4.6,Mb,54,129.5999896,2.098465,1.81,at,at00pqdq51,2019-04-22T21:52:28.040Z,"170km WSW of Port Hardy, Canada",earthquake,0,0,,26,reviewed,at,at,98357,WA,Neah Bay,436.6884906
2019-04-22T08:12:50.080Z,35.391,-118.5448333,3.97,3.3,ml,80,43,0.1421,0.16,ci,ci38555640,2019-04-29T08:04:28.040Z,"22km SSW of Bodfish, CA",earthquake,0.11,0.55,0.174,294,reviewed,ci,ci,93285,CA,Wofford Heights,9.067141419
2019-04-22T05:45:09.840Z,36.6018333,-121.2125,8.62,3.59,mw,67,32,0.03715,0.08,nc,nc73170140,2019-04-24T07:53:11.343Z,"10km NW of Pinnacles, CA",earthquake,0.12,0.22,,3,reviewed,nc,nc,95043,CA,Paicines,5.927995257
2019-04-21T14:08:09.029Z,19.8782,-63.7647,10,3.3,ml,,235,1.932,0.56,us,us700039zk,2019-04-21T16:07:41.040Z,"184km NNE of Road Town, British Virgin Islands",earthquake,4.4,2,0.081,20,reviewed,us,us,00830,VI,St John,200.5570971
2019-04-21T13:47:32.009Z,36.3614,-112.2268,10,3.1,ml,,83,0.084,0.78,us,us700039zh,2019-04-27T12:17:10.730Z,"34km NNW of Grand Canyon, Arizona",earthquake,3.2,1.9,0.034,116,reviewed,us,us,86023,AZ,Grand Canyon,47.41652903
2019-04-20T14:41:51.120Z,31.3561,-115.6707,10,4.5,mb,,156,0.688,1.35,us,us700039mz,2019-04-24T18:10:57.895Z,"67km NNE of Camalu, Mexico",earthquake,5.1,2,0.085,41,reviewed,us,us,92249,CA,Heber,153.4320568
2019-04-19T23:17:33.480Z,40.392,-125.9101667,14.94,3.29,ml,30,304,1.203,0.24,nc,nc73169010,2019-04-20T18:47:38.077Z,"138km W of Petrolia, CA",earthquake,9.8,12.53,0.183,8,reviewed,nc,nc,95536,CA,Ferndale,139.1677565
2019-04-15T17:55:57.970Z,37.3823333,-118.5381667,9.35,3.88,mw,37,60,0.03532,0.07,nc,nc73166830,2019-04-30T14:34:30.649Z,"6km SE of Round Valley, CA",earthquake,0.28,0.68,,3,reviewed,nc,nc,93512,CA,Benton,14.85818148
2019-04-15T15:58:47.900Z,37.3823333,-118.5385,9.04,3.44,mw,36,62,0.03517,0.06,nc,nc73166680,2019-04-16T23:56:16.655Z,"6km SE of Round Valley, CA",earthquake,0.24,0.56,,4,reviewed,nc,nc,93512,CA,Benton,14.84303675
2019-04-15T11:54:03.180Z,38.8148333,-122.7991667,1.24,4.12,mw,79,19,0.00749,0.09,nc,nc73166265,2019-04-24T07:53:26.008Z,"6km NW of The Geysers, CA",earthquake,0.09,0.14,,6,reviewed,nc,nc,95426,CA,Cobb,5.891402017
2019-04-14T03:59:54.370Z,38.7718333,-112.7648333,1.11,4.06,ml,28,49,0.2737,0.18,uu,uu60320932,2019-04-19T23:49:45.972Z,"46km WSW of Fillmore, Utah",earthquake,0.34,1.02,0.13,21,reviewed,uu,uu,84637,UT,Kanosh,27.57507548
